uhf42,uhf42_neighborhood,zip,uhf34,uhf34_neighborhood
101,Kingsbridge Riverdale,10463,101,Kingsbridge Riverdale
101,Kingsbridge Riverdale,10471,101,Kingsbridge Riverdale
102,Northeast Bronx,10466,102,Northeast Bronx
102,Northeast Bronx,10469,102,Northeast Bronx
102,Northeast Bronx,10470,102,Northeast Bronx
102,Northeast Bronx,10475,102,Northeast Bronx
103,Fordham Bronx Park,10458,103,Fordham Bronx Park
103,Fordham Bronx Park,10467,103,Fordham Bronx Park
103,Fordham Bronx Park,10468,103,Fordham Bronx Park
104,Pelham Throgs Neck,10461,104,Pelham Throgs Neck
104,Pelham Throgs Neck,10462,104,Pelham Throgs Neck
104,Pelham Throgs Neck,10464,104,Pelham Throgs Neck
104,Pelham Throgs Neck,10465,104,Pelham Throgs Neck
104,Pelham Throgs Neck,10472,104,Pelham Throgs Neck
104,Pelham Throgs Neck,10473,104,Pelham Throgs Neck
105,Crotona Tremont,10453,105106107,South Bronx
105,Crotona Tremont,10457,105106107,South Bronx
105,Crotona Tremont,10460,105106107,South Bronx
106,High Bridge Morrisania,10451,105106107,South Bronx
106,High Bridge Morrisania,10452,105106107,South Bronx
106,High Bridge Morrisania,10456,105106107,South Bronx
107,Hunts Point Mott Haven,10454,105106107,South Bronx
107,Hunts Point Mott Haven,10455,105106107,South Bronx
107,Hunts Point Mott Haven,10459,105106107,South Bronx
107,Hunts Point Mott Haven,10474,105106107,South Bronx
201,Greenpoint,11211,201,Greenpoint
201,Greenpoint,11222,201,Greenpoint
202,Downtown Heights Park Slope,11201,202,Downtown Heights Slope
202,Downtown Heights Park Slope,11205,202,Downtown Heights Slope
202,Downtown Heights Park Slope,11215,202,Downtown Heights Slope
202,Downtown Heights Park Slope,11217,202,Downtown Heights Slope
202,Downtown Heights Park Slope,11231,202,Downtown Heights Slope
203,Bedford Stuyvesant Crown Heights,11213,203,Bedford Stuyvesant Crown Heights
203,Bedford Stuyvesant Crown Heights,11212,203,Bedford Stuyvesant Crown Heights
203,Bedford Stuyvesant Crown Heights,11216,203,Bedford Stuyvesant Crown Heights
